Year,Site.description,Locality,Site,Lat,Lon
2024,Thermal imaging survey,Bamfield,Bamfield Inlet,48.831891,-125.136202
2024,Thermal imaging survey,Bamfield,Brady's Beach,48.827269,-125.153518
2024,Thermal imaging survey,Bamfield,Eagle Bay,48.833681,-125.146874
2024,Thermal imaging survey,Bamfield,Grappler Narrows,48.834557,-125.11087
2024,Thermal imaging survey,Sidney,Chalet Beach,48.684824,-123.47369
2024,Thermal imaging survey,Sidney,Glass Beach,48.647652,-123.393472
2024,Thermal imaging survey,Sidney,Moses Point,48.690584,-123.485151
2024,Thermal imaging survey,Sidney,Seabreeze Road,48.699552,-123.446249
2024,Weather station,Bamfield,BMSC,48.835482,-125.135242
2024,Weather station,Sidney,Victoria Intl Airport,48.640439,-123.430729
