"cond((Int))","disp((Int))","cond(aggregated)","cond(air)","cond(arm.length.cm)","cond(humidity)","cond(microhabitat)","cond(sst)","cond(substrate.ave)","cond(transect.number)","cond(wind.ave.km)","cond(wind.max.km)","df","logLik","AICc","delta","weight","CumWeight"
3.3257375034801,"+","+",0.261429508621653,NA,0.048071493606824,"+",-0.376839980617191,0.652791157430669,NA,0.102294394829195,NA,14,-937.991525470407,1904.56396380388,0,0.152745909074976,0.144408272336946
3.4759521921792,"+","+",0.261752461834074,NA,0.0438589757658358,"+",-0.409631581230308,0.653122982815813,NA,NA,0.0707106563479928,14,-938.199262300582,1904.97943746423,0.415473660350472,0.12409395566733,0.2617285583852
4.16874831020513,"+","+",0.254263592709064,NA,0.0471566124323118,"+",-0.360859088261173,0.652075463286884,NA,NA,NA,13,-939.268321007112,1905.03940444516,0.475440641278965,0.120428413218508,0.375583385650186
2.57227713232893,"+","+",0.272580874806837,NA,0.0495367362776255,"+",-0.356664503520042,0.656573961322606,"+",0.0969902613321945,NA,15,-937.563931290531,1905.79268252566,1.2287187217762,0.0826336064037912,0.453706435949918
3.35211916413825,"+","+",0.257790754885788,0.00827361547142259,0.0470906691175601,"+",-0.375924590764633,0.653963060141835,NA,0.102334104731312,NA,15,-937.760572164137,1906.18596427287,1.62200046898829,0.0678823175306192,0.517883396604314
3.31066457856515,"+","+",0.264709896405358,NA,0.0488075154347501,"+",-0.336835144231744,0.655755870829722,"+",NA,NA,14,-938.845357691076,1906.27162824522,1.7076644413396,0.0650361712046816,0.579369567854033
2.86327080966497,"+","+",0.271534982873662,NA,0.0451978949954563,"+",-0.390675547756585,0.656388215148687,"+",NA,0.0654316759197726,15,-937.861429647875,1906.38767924035,1.82371543646445,0.0613698147381569,0.637389510735944
3.4871448905553,"+","+",0.257903283449836,0.00861322074738043,0.0428657897295767,"+",-0.408257266930949,0.654351972874926,NA,NA,0.0711410490530302,15,-937.948563288454,1906.56194652151,1.99798271762211,0.0562487859110923,0.690567956192604
3.34390991670565,"+","+",0.262230744829853,NA,0.0467125157248246,"+",-0.389585863228572,0.652953791810354,NA,0.0794650066773661,0.0210354103085157,15,-937.956425340727,1906.57767062605,2.01370682216839,0.0558082888902535,0.743329949162032
4.19436936829746,"+","+",0.250510721462166,0.00850485251239405,0.0461519595860708,"+",-0.359806342232053,0.653287149754931,NA,NA,NA,14,-939.02438860312,1906.62969006931,2.06572626542584,0.0543754455363334,0.794737310544125
2.49723138868474,"+","+",0.269679220202906,0.0102846325848332,0.0485369162500793,"+",-0.352707667829083,0.658569025405469,"+",0.0962965904764523,NA,16,-937.21566216676,1907.18583196181,2.62186815793075,0.0411754307269597,0.833665180036794
3.21727091555478,"+","+",0.261649138370584,0.0105266119613647,0.0478109295574139,"+",-0.332143822781587,0.657799585691402,"+",NA,NA,15,-938.480848106162,1907.62651615692,3.06255235303934,0.033032754814809,0.864894841650809
2.7766069496506,"+","+",0.268501315144583,0.0104494293100351,0.0442157920931512,"+",-0.385987639901022,0.658417844748412,"+",NA,0.0651016774214449,16,-937.501501543043,1907.75751071438,3.1935469104958,0.0309385308634307,0.894144592545534
2.61199730875836,"+","+",0.272840218856601,NA,0.0487320096032466,"+",-0.36442207593335,0.656569763216656,"+",0.0855540969658169,0.0107919374998023,16,-937.554018537581,1907.86254470346,3.29858089957156,0.0293556598067727,0.921897873413608
3.36645014984856,"+","+",0.258563689014554,0.00837831426483041,0.0456308668020518,"+",-0.389379872572575,0.654154242011669,NA,0.0775004465911047,0.0228135853105171,16,-937.719644013087,1908.19379565447,3.62983185058374,0.0248749156122857,0.945414991546928
